name,lat,lng,priority,iscapital
"Sao Tome",0.3333333333333333,6.733333,6,1
"Riyadh",24.65,46.700000,3,1
"Dakar",14.733333333333333,-17.633333,3,1
"Belgrade",44.833333333333336,20.500000,3,1
"Victoria",-4.616666666666667,55.450000,3,1
"Freetown",8.483333333333333,-13.233333,4,1
"Singapore",1.2833333333333332,103.850000,5,1
"Philipsburg",18.016666666666666,-63.033333,6,1
"Bratislava",48.15,17.116667,4,1
"Ljubljana",46.05,14.516667,3,1
"Honiara",-9.433333333333334,159.950000,4,1
"Mogadishu",2.066666666666667,45.333333,3,1
"Pretoria",-25.7,28.216667,3,1
"Juba",4.85,31.616667,3,1
"Madrid",40.4,-3.683333,3,1
"Colombo",6.916666666666667,79.833333,3,1
"Khartoum",15.6,32.533333,3,1
"Paramaribo",5.833333333333333,-55.166667,3,1
"Longyearbyen",78.21666666666667,15.633333,3,1
"Mbabane",-26.316666666666666,31.133333,4,1
"Stockholm",59.333333333333336,18.050000,3,1
"Bern",46.916666666666664,7.466667,4,1
"Damascus",33.5,36.300000,3,1
"Taipei",25.033333333333335,121.516667,2,1
"Dushanbe",38.55,68.766667,3,1
"Dar es Salaam",-6.8,39.283333,3,1
"Bangkok",13.75,100.516667,3,1
"Dili",-8.583333333333334,125.600000,3,1
"Lome",6.116666666666666,1.216667,3,1
"Nuku'alofa",-21.133333333333333,-175.200000,6,1
"Port of Spain",10.65,-61.516667,3,1
"Tunis",36.8,10.183333,3,1
"Ankara",39.93333333333333,32.866667,3,1
"Ashgabat",37.95,58.383333,3,1
"Grand Turk",21.466666666666665,-71.133333,4,1
"Funafuti",-8.516666666666667,179.216667,4,1
"Kampala",0.31666666666666665,32.550000,3,1
"Kyiv",50.43333333333333,30.516667,2,1
"Abu Dhabi",24.466666666666665,54.366667,3,1
"London",51.5,-0.083333,2,1
"Washington D.C.",38.883333,-77.000000,2,1
"Montevideo",-34.85,-56.166667,3,1
"Tashkent",41.31666666666667,69.250000,3,1
"Port-Vila",-17.733333333333334,168.316667,3,1
"Caracas",10.483333333333333,-66.866667,2,1
"Hanoi",21.033333333333335,105.850000,3,1
"Charlotte Amalie",18.35,-64.933333,8,1
"Mata-Utu",-13.95,-171.933333,4,1
"Sanaa",15.35,44.200000,3,1
"Lusaka",-15.416666666666666,28.283333,3,1
"Harare",-17.816666666666666,31.033333,3,1
"Washington D.C.",38.883333,-77.000000,3,1
"North Nicosia",35.183333,33.366667,8,1
"Diego Garcia",-7.3,72.400000,3,1
