name,lat,lng,priority,type
"Bhavnagar",21.766667,72.15,3,2
"Bhilai",21.216667,81.433333,5,2
"Bhiwandi",19.3,73.066667,6,2
"Bhopal",23.266667,77.4,3,2
"Bhubaneswar",20.233333,85.833333,3,2
"Bikaner",28.016667,73.3,3,2
"Chandigarh",30.7343,76.7933,3,2
"Dehra Dun",30.316667,78.033333,3,2
"Durgapur",23.483333,87.316667,3,2
"Faridabad",28.433333,77.316667,4,2
"Ghaziabad",28.666667,77.433333,5,2
"Gorakhpur",26.755,83.373889,3,2
"Guntur",16.3,80.45,3,2
"Guwahati",26.183333,91.733333,3,2
"Gwalior",26.223611,78.179167,3,2
"Haora",22.589167,88.310278,3,2
"Hubli",15.35,75.166667,3,2
"Indore",22.716667,75.833333,3,2
"Jabalpur",23.166667,79.95,3,2
"Jalandhar",31.325556,75.579167,3,2
"Jamshedpur",22.8,86.183333,3,2
"Jodhpur",26.286667,73.03,3,2
"Kalyan",19.25,73.15,5,2
"Kochi",9.966667,76.233333,3,2
"Kolhapur",16.7,74.216667,3,2
"Kota",25.183333,75.833333,3,2
"Ludhiana",30.9,75.85,3,2
"Madurai",9.933333,78.116667,3,2
"Maisuru",12.307222,76.649722,3,2
"Moradabad",28.833333,78.783333,3,2
"Patna",25.6,85.116667,3,2
"Pimpri",18.616667,73.8,3,2
"Raipur",21.233333,81.633333,3,2
"Rajkot",22.3,70.783333,3,2
"Ranchi",23.35,85.333333,3,2
"Selam",11.65,78.166667,3,2
"Shiliguri",26.716111,88.423611,3,2
"Sholapur",17.683333,75.916667,3,2
"Srinagar",34.092222,74.802222,3,2
"Thana",19.2,72.966667,5,2
"Thiruvananthapuram",8.506944,76.956944,3,2
"Tiruchchirappalli",10.805,78.685556,3,2
"Ulhasnagar",19.216667,73.15,3,2
"Vadodara",22.3,73.2,3,2
"Varanasi",25.333333,83,3,2
"Vijayawada",16.516667,80.616667,3,2
"Visakhapatnam",17.7,83.3,3,2
"Warangal",18,79.583333,3,2
"Irbil",36.19,44.0088889,3,2
"Kirkuk",35.4680556,44.3922222,3,2
"Ahvaz",31.3203,48.6693,3,2
"Arak",34.091741,49.689164,3,2
"Esfahan",32.657218,51.677608,3,2
"Hamadan",34.799216,48.514556,3,2
"Karaj",35.8355,51.0103,3,2
"Kerman",30.283209,57.07879,3,2
"Kermanshah",34.314167,47.065,3,2
"Orumiyeh",37.5553,45.0724,3,2
"Qom",34.6401,50.8764,3,2
"Rasht",37.280769,49.58319,3,2
"Shiraz",29.6036,52.5388,3,2
"Tabriz",38.08,46.2919,3,2
"Genoa",44.416667,8.95,3,2
"Milan",45.466667,9.2,3,2
"Naples",40.833333,14.25,3,2
"Palermo",38.116667,13.366667,3,2
"Turin",45.05,7.666667,3,2
"Kingston",18.0,-76.8,3,2
"Funabashi",35.693056,139.983333,5,2
"Hachioji",35.655833,139.323889,3,2
"Hamamatsu",34.7,137.733333,2,2
"Hiroshima",34.434844,132.740622,2,2
"Kawasaki",35.520556,139.717222,4,2
"Kitakyushu",33.833333,130.833333,3,2
"Kobe",34.691304,135.182995,3,2
"Niigata",37.902222,139.023611,3,2
"Sagamihara",35.553056,139.354444,5,2
